01/04/2018	35	110
07/04/2018	32.375	107.375
21/04/2018	29.946875	104.946875
05/05/2018	27.700859375	102.700859375
19/05/2018	25.623294921875	100.623294921875
02/06/2018	23.7015478027344	98.7015478027344
16/06/2018	21.9239317175293	96.9239317175293
30/06/2018	20.2796368387146	95.2796368387146
14/07/2018	18.758664075811	93.758664075811
28/07/2018	17.3517642701252	92.3517642701252
11/08/2018	16.0503819498658	91.0503819498658
25/08/2018	14.8466033036259	89.8466033036259
08/09/2018	13.7331080558539	88.7331080558539
22/09/2018	12.7031249516649	87.7031249516649
06/10/2018	11.75039058029	86.75039058029
20/10/2018	10.8691112867683	85.8691112867683
03/11/2018	10.0539279402606	85.0539279402607
17/11/2018	9.2998833447411	84.2998833447411
01/12/2018	8.60239209388551	83.6023920938855

